,context,V.+
256,不划算，家樂福禮券 6000，但是你 499 要綁 30個月，等於每月 299 送 500分鐘。 之前都已經有 299 送 1000分鐘了，這個方案有啥好辦的。 更不用說每月 299 送 500分鐘，只要 158 就辦得到了(二年約)，何必被綁更長的 30個月，然後價錢又要 299？,划算/VH 綁/VC 等於/VG 送/VD 有/V_2 送/VD 有/V_2 好/VH 辦/VC 送/VD 辦/VC 到/VC 綁/VC 長/VH 要/VC
257,開了二台Tab S7+ 5G平板用HAMI VIDEO APP收視 目前在室內用4G連線看了一局很順不卡頓感覺不錯！,開/VC 平板/VH 用/VC 連線/VB 看/VC 順/VH 卡頓/VH 感覺/VK 不錯/VH
258,請問各位登入中華電信app會這樣嗎？想查個帳單但是總是顯示忙碌或網路慢或是在登入的時候顯示登入成功，卻沒有轉換頁面卡在登 入畫面我是iPhone 7+，iOS 14.3不知道是不是只有我會這樣...--,請問/VE 登入/VCL 這樣/VH 想/VE 查/VE 顯示/VK 忙碌/VH 慢/VH 登入/VCL 顯示/VK 登入/VCL 成功/VH 轉換/VC 登/VC 入/VCL 知道/VK 這樣/VH
259,三小，為啥中華電信要取消信用卡自動訂閱？有啥理由？,小/VH 取消/VC 自動/VH 訂閱/VC 有/V_2
260,中華月租2699要跟你說？,說/VE
261,4G CA不比現在的5G 慢，現在的5G沒有低延遲的優 勢。,不/VJ 慢/VH 沒有/VJ 低/VH 延遲/VHC 優 勢/VH
262,Hami app 本身就是設計的這麼不人性?,不/VH 人性/VH
263,HamiPay在這方面的選擇卡片的付款動作設計的不夠人性,選擇/VC 付款/VB 設計/VC 夠/VH
264,亞太可以跑到20，但同時段的中華卻不行，唉,跑到/VCL 不行/VH
265,亞太比中華，遠傳好,好/VH
266,我也這樣認為，但剛從中華轉到台星1111幾天， 很神奇，真的比較耗電！ 其它條件APP完全相同，硬是多耗電10~20％ 真的很妙,這樣/VH 認為/VE 轉到/VCL 神奇/VH 耗電/VJ 相同/VH 耗電/VJ 妙/VH
267,希望大家不要辦中華拜託大家了,希望/VK 辦/VC 拜託/VC
268,最近中華回到家都被限到剩10M，捷運和公司是正常的 拿老婆每月10G的中華試也一樣被限10M,回到/VCL 限/VJ 剩/VJ 正常/VH 拿/VC 一樣/VH 限/VJ
269,生活圈中華ok順順用,順順/VH
270,幸福199~ 我爸媽非常滿意,幸福/VH 滿意/VK
271,中華在文大才是最爛的,爛/VH
272,中華電信已經放棄4G了？,放棄/VC
273,15毫秒 我中華4G都能11毫秒了 這樣的PING值不行! 目前看到中華最高的PING值 台哥大竟然25毫秒!,這樣/VH 值/VH 不行/VH 看到/VE 高/VH
274,用了貴公司的hamivideo多年了，之前使用CHROMECAST投放至電視看電影都沒問題，可是最近有很多影片都無法投放 ，只能在手機正常撥放。,用/VC 使用/VC 投放/VC 看/VC 沒/VJ 有/V_2 投放/VC 正常/VH 撥放/VC
275,中華電信的屁股要拉到脫岡了搞不好又在用方案砍吃到飽,拉到/VC 用/VC 砍/VC 吃/VC 飽/VH
276,這方案有比較優嗎？,有/V_2 優/VH
277,只有遠傳，才有距離,遠傳/VD 有/V_2
278,換5g手機後遠傳說開通5g體驗1個月 到現在也沒看過變5g網路還變慢,換/VC 說/VE 開通/VH 體驗/VC 看過/VC 變/VG 變慢/VG
279,還是中華好！,好/VH
280,我要死了，他們用中華電信一直lag，你們懂吧！！！中華電信倒閉！！,死/VH 懂/VK 倒閉/VH
281,真假看來中華電信蠻給力的,給力/VH
282,中華電信也是完全跑不動,跑不動/VH
283,跨年的現場訊號也是很慘呀,慘/VH
284,4G收訊就這麼不好，還5G,收訊/VA 好/VH
285,現在4G這麼慢還想要5G啊,慢/VH 想要/VE
286,對啊 4G都快沒收訊了！還推5G來騙錢,對/VH 收訊/VA 推/VC 騙錢/VB
287,可是有5G了4G感覺網速變慢了,有/V_2 感覺/VK 變慢/VH
288,4G都沒收訊反應也沒改善還5G勒不就更慘了就只會一直騙錢而已,收訊/VA 改善/VC 勒/VC 慘/VH 騙錢/VB
289,最近收訊這麼差還斷訊,收訊/VA 差/VH 斷訊/VA
290,4G都爛爆了 還5G哈哈哈哈哈哈,爛/VH 爆/VH
291,1399便宜ㄇ？,便宜/VH
292,我只能説越來越爛，錢越收越貴,説/VE 爛/VH 收/VC 貴/VH
293,恭喜受到訊號了但我的種花電信在二樓就讓我沒辦法刷推特了（早上可以晚上不行，有夠神奇,恭喜/VJ 受到/VJ 讓/VL 沒辦法/VI 刷/VC 不行/VH 神奇/VH
294,便宜的台星囉,便宜/VH
295,",中華給 了我縮水通話的499續約方案,我就不想續約了",給/VD 縮水/VH 通話/VB 續約/VA 想/VE 續約/VA
296,myvideo真的是我用過最好用的觀影app，歡迎大家一同下載使用♥️,用/VC 好用/VH 觀影/VA 歡迎/VJ 下載/VC 使用/VC
297,講好聽自動升級，其實是想綁住高資費用戶，繼續敲盤子,講/VE 好/VH 聽/VE 自動/VH 升級/VH 想/VE 綁住/VC 高/VH 繼續/VF 敲/VA
298,月費1399不是被當盤子敲吧🧐？,當/VG 敲/VC
299,問題在中華電信定價高於4G,高於/VJ
300,最棒的中華電信,棒/VH
301,中華電信4G中午顯示滿格，結果沒網路用測速軟體看，上下傳都低於1kb但12:50-55左右 網路又突然復活可以到7-8Mb請問這種有解嗎QQ--,顯示/VK 沒/VJ 測速/VC 看/VC 傳/VD 低於/VJ 復活/VH 到/VCL 請問/VE 有解/VH
302,信號函蓋就中華而已。,
303," 中華的月租費只能往上不能往下！ 699月租不能辦499 488就更不用想了,沒有老客戶的份 除非你是別家電信NP來中華這樣子你的優惠條件會比幾十年的中華老客戶好",辦/VC 想/VE 沒有/VJ 老/VH 來/VA 這樣子/VH 優惠/VJ 老/VH 好/VH
304,中華電信是不是怪怪的啊,怪怪/VH
305,前天受不了測了一下台哥大也是在秀下限…,受不了/VK 測/VC 秀/VC
306,同樣的條件，我的亞太電信才299....,同樣/VH
307,如果真的還要嫌的話 頂多就是用台灣之星那類以價壓質的,嫌/VK 壓/VC
308,通話似乎很慘,通話/VB 慘/VH
309,網路倒是不錯,不錯/VH
310,公教不都488嗎 你的比較貴XD,488/VH 貴/VH
311,我是台灣大用戶 現在品質感覺還不錯,大/VH 感覺/VK 不錯/VH
312,網路超級不穩,穩/VH
313,垃圾客服不聽 人說話,聽/VE 說話/VA
314,垃圾網路不穩定,穩定/VHC
315,靠網路很糟,靠/VJ 糟/VH
316,垃圾程式,
317,垃,
318,我還想放棄中華勒 有夠爛,想/VE 放棄/VC 勒/VA 爛/VH
319,中華棒❤️,
320,中華和亞太，都在玩限速2. 01M的大地遊戲，連3G時代均速都不到，還期待啥快5-10倍，3G時代最高速是75M，現在4G最低速是2.01M，大家有 沒有覺得世事如棋、乾坤莫測、笑盡....大家還是用最便宜的就好,玩/VC 不/VJ 到/VCL 期待/VK 快/VH 有/V_2 覺得/VK 笑盡/VA 便宜/VH 好/VH
321,中華和亞太，都在玩限速2. 01M的大地遊戲，連3G時代均速都不到，還期待啥快5-10倍，3G時代最高速是75M，現在4G最低速是2.01M，大家有 沒有覺得世事如棋、乾坤莫測、笑盡....大家還是用最便宜的就好,玩/VC 不/VJ 到/VCL 期待/VK 快/VH 有/V_2 覺得/VK 笑盡/VA 便宜/VH 好/VH
322,也給遠傳洗臉，象徵中華跟台哥大是6月同天開台，而遠傳卻要到7月才開台,洗臉/VA 象徵/VK 開台/VA 開/VA
323,台哥根本不是三雄…,
324,中華超卡，慢到要切成3G還比較快,慢/VH 切成/VG 快/VH
325,5G覆蓋率就真的不行,不行/VH
326,台灣之星低價騙些垃圾窮鬼就夠吃了,騙/VC 夠/VH 吃/VC
327,5g 超鳥 還要卡熱點分享 連用4g熱點分享都算流量 爛透了,要/VC 分享/VJ 分享/VJ 算/VG 爛/VH
328,證明遠傳設計的比較好 👍,證明/VE 好/VH
329,台哥大最慢最不穩,慢/VH 穩/VH
330,中華目前試了兩天體驗最好 ，最穩,試/VF 體驗/VC 好/VH 穩/VH
331,亞太：陪公子練劍,陪/VC 練/VA
332,亞太倒是增加不少.只是都沒增加到我們家這,增加/VHC 增加/VHC
333,台哥大不安，我也不安,不安/VH 不安/VH
334,紀錄片貧脊到 可悲,貧脊/VH 到/VCL 可悲/VH
335,位元率太低畫質很糟糕,低/VH 糟糕/VH
336,幹嘛還訂閱fox+,訂閱/VC
337,中華很給力,給力/VH
338,中華一直很強 也很貴,強/VH 貴/VH
339,這就是坑錢啊。,坑錢/VA
340,台哥收訊...NP準備被靠北到死,收訊/VA 準備/VF 死/VH
341,一直被當盤仔繳錢（她中華的）每個月都繳1399,當/VG 繳/VD 繳/VD
342,種花假4g,假/VH
343,要穏順看，中華比較保險,看/VC 保險/VH
344,中華現在上傳在非鬧區 大概都可以50~60m鬧區就比較容易GG,傳/VD 容易/VH
345,HamiPay 再度無法下載,下載/VC
346,原本的要按一堆才能轉客服真的超鳥,轉/VC 超鳥/VJ
347,中華就是比其他家貴，對老客戶也不好....唉,貴/VH 老/VH 好/VH
348,目前都用499在撑但網速實在不給力,撑/VC 給力/VH
349,中華電信一直沒動靜阿.............................啃....都想跳到遠傳了....,沒/VJ 啃/VC 想/VE 跳到/VCL
350,台哥大算中規中矩,算/VG 中規中矩/VH
351,中華我辦過試用卡 很慘,辦/VC 慘/VH
352,中華那樣看個YOUTUBE可以一直轉圈,那樣/VH 看/VC 轉圈/VA
353,中華好像就沒這麼省,省/VH
354,亞太11真的很省,省/VH
355,以前問中華電信說想要裝都不給裝,問/VE 說/VE 想要/VE 裝/VC 給/VD 裝/VC
356,"GtPay的""智慧繳費""很好用",繳費/VA 好用/VH
357,亞太這麼沒志氣,沒/VH
358,Hami Point用途多多,
359,租myvideo黑魔女2來看爽,租/VD 看/VC 爽/VH
360,推在家看myvideo,推/VC 看/VC
361,穩定的中華電信,穩定/VHC
362,反推遠遊卡，超崩潰,推/VC
363,有上限還叫吃到飽?,有/V_2 叫/VG 吃/VC 飽/VH
364,中華相對穩定些,相對/VH 穩定/VHC
365,比台灣之星差,差/VH
366,中華只有收費沒有品質嗎？,收費/VD 沒有/VJ
367,不限速吃到飽這399還不 錯,限速/VJ 吃/VC 飽/VH  錯/VH
368,319速度比較慢,慢/VH
369,hami這個活動挺不錯的,不錯/VH
370,看電影然後又有hami點數拿真的蠻爽的~,看/VC 有/V_2 拿/VC 爽/VH
371,新手長輩們無腦存中華啊,無/VJ 存/VC
372,獲利王台灣大真的夠爛,爛/VH
373,亞太蹭飯仔要起飛了,起飛/VA
374,台哥大到底還有沒有心想要競爭啊？,有/V_2 想要/VE 競爭/VA
375,常用myVideo看電影，費用其實不會太高,看/VC 高/VH
376,中華國營比較少在搞限速,國營/VH 少/VH 搞/VC 限速/VA
377,我中華電信也會卡耶這一定是統戰,
378,MyVideo免費也很多,免費/VH 很多/VH
379,同推myVideo介面很好上手 分類滿細 也常常有推薦的片單然後它也有家庭方案 月費沒有Netflix這麼高 算滿親民的,推/VC 好/VH 上手/VA 細/VH 有/V_2 推薦/VC 有/V_2 沒有/VJ 高/VH 算/VG 親民/VH
380,比過年前還慢,過年/VA 慢/VH
381,慢到閃退 差點殺人！,慢/VH 閃退/VA 殺人/VA
382,亞太又放棄，郭董你還是把亞太賣給有心經營的人吧！,放棄/VC 賣給/VD 有心/VL 經營/VC
383,用過都說”幹”,用/VC 說/VE
384,資費稍高應該是可以接受的,高/VH 接受/VC
385,中華很貴不考慮,貴/VH 考慮/VE
386,老客戶都是被當成屎來看的，沒有價值。,老/VH 當成/VG 看/VC 沒有/VJ
387,電信公司最不會照顧老客戶,照顧/VC 老/VH
388,"老客戶不管用幾年,優惠永遠比不上NP來的新客戶",老/VH 優惠/VJ 比不上/VJ 新/VH
389,沒比亞太難用吧？,難/VH 用/VC
390,台哥大最好使,使/VL
391,這個費率已經比以前輕鬆很多了,輕鬆/VH
392,對其品質較有信心,有/V_2
393,不考慮488+空機，老媽覺得麻煩,考慮/VE 覺得/VK 麻煩/VHC
394,回覆完全敷衍了事,回覆/VD 敷衍/VC 了事/VA
395,預付卡 只有悲劇而已,有/V_2
396,比較慢+1,慢/VH
397,中華吃不飽,吃/VH 飽/VH
398,中華電信方案還不用2700就可買到,買到/VC
399,台哥好像跟遠傳五五波,
400,遠傳直營自營選擇看櫃員是不是好人，被通訊行坑過但也被直營唬爛過,直營/VH 自營/VC 坑/VD 直營/VH 唬爛/VA
401,爽，又是中華跟遠傳佔最多~!!,爽/VH 佔/VJ 最多/VH
402,不然不曉得要被種花坑幾年了....,曉得/VK 種花/VA 坑/VC
403,續約488是不可能的，我 21年老客戶了，沒有任何留我的意思,續/VA 老/VH 沒有/VJ 留/VC
404,亞太比較落漆,落漆/VH
405,我用亞太也是很順,順/VH
406,中華，不知道是我經過的區域使用人特別多還是其他原因，就是用一用突然很頓,知道/VK 經過/VCL 特別/VH 多/VH 用/VC 用/VC 頓/VH
407,買空機在打配499或699都划算,買/VC 打配/VC 划算/VH
408,還是中華好用,好用/VH
409,遠傳的表現真的不好,好/VH
410,中華應該是會最好的品質,好/VH
411,"不是中華電信的問題,默默的切回4G,為速度而生,因比較而死!",切回/VCL 生/VC 比較/VC 死/VH
412,中華現在死角蠻多的 別以為在市區會沒事,多/VH 以為/VE 沒/VJ
413,市區一堆人用中華自然慢,慢/VH
414,打遊戲打到一半也可以斷線 4G還可以變成3G,打遊戲/VA 打到/VC 斷線/VH 變成/VG
415,台灣之星也不錯 說不定有天能迎頭趕上喔,不錯/VH 有/V_2 迎頭趕上/VA
416,我本身主門號是遠傳電信，我感受不到統計該有的體驗。,感受/VK 到/VK 有/V_2 體驗/VC
417,中華品質向來表現穩定有口碑,表現/VC 穩定/VHC 有/V_2
418,還在期待中華zzzZZ,期待/VK
419,國營事業不意外…,國營/VH 意外/VK
420,有錢決定一切,有錢/VH 決定/VE
421,盤子才在這時候辦5G,辦/VC
422,傻瓜才抓CH，拜託...綁了快30年，跑了 N遍仍要不到優惠,抓/VC 拜託/VC 綁/VC 跑/VA 要/VC 到/VJ 優惠/VJ
423,台星5G＝三雄4.5G,
424,辦499根本盤,辦/VC
425,中華就最沒誠意又摳門昨天那圖示就消失大概中華覺得太多人在等這個簽到，賺不到儲值的錢,沒/VJ 摳門/VA 圖示/VC 消失/VA 覺得/VK 等/VC 簽到/VA 賺/VC 到/VC
426,辣些說遠傳糞的 我看你們是沒享受過台灣之星吼,辣/VH 說/VE 遠傳/VH 看/VE 享受/VJ 吼/VA
427,中華在下班後每天都塞得 很慘,下班/VA 塞/VC 慘/VH
428,5G網路排名是1.中華2.遠傳3.台灣大4.台星之星，亞太直接出局!,直接/VH 出局/VH
429,我以前也都去中華電信那種的辦...被坑很多年根本傻子,去/VCL 辦/VC 坑/VD
430,遠傳超屌 客戶少了中華3百萬以上 頻寬跟中華只差10M Hz 平均來說 遠傳比中華快多了,超/VJ 少/VH 差/VH 平均/VH 說/VE 快/VH 多/VH
431,中華+台哥大合體 & 在5G非吃到飽部分比較有創意,合體/VA 吃/VC 飽/VH 有/V_2
432, 中華>遠傳>>>>>台星>>>>>>>>>台哥,
433,Hami pa,
434,Hami pa,
