,context,closed_class
257,開了二台Tab S7+ 5G平板用HAMI VIDEO APP收視 目前在室內用4G連線看了一局很順不卡頓感覺不錯！,了　 Tab　  S7+ 5G　 HAMI VIDEO APP　  　 在　 用　 了　 很　 不　 ！　
258,請問各位登入中華電信app會這樣嗎？想查個帳單但是總是顯示忙碌或網路慢或是在登入的時候顯示登入成功，卻沒有轉換頁面卡在登 入畫面我是iPhone 7+，iOS 14.3不知道是不是只有我會這樣...--,app　 會　 嗎　 ？　 個　 但是　 總是　 或　 或是　 在　 的　 ，　 卻　 沒有　 在　  　 是　 iPhone　  7+　 ，　 iOS 14.3　 不　 是　 不是　 只有　 會　 .　 .　 .--　
259,三小，為啥中華電信要取消信用卡自動訂閱？有啥理由？,，　 為啥　 要　 ？　 ？　
260,中華月租2699要跟你說？,要　 跟　 ？　
261,4G CA不比現在的5G 慢，現在的5G沒有低延遲的優 勢。,比　 的　 ，　 的　 的　 。　
262,Hami app 本身就是設計的這麼不人性?,Hami app　  　 就　 是　 的　 這麼　 ?　
263,HamiPay在這方面的選擇卡片的付款動作設計的不夠人性,HamiPay　 在　 的　 的　 的　 不　
264,亞太可以跑到20，但同時段的中華卻不行，唉,可以　 ，　 但　 的　 卻　 ，　 唉　
265,亞太比中華，遠傳好,比　 ，　
266,我也這樣認為，但剛從中華轉到台星1111幾天， 很神奇，真的比較耗電！ 其它條件APP完全相同，硬是多耗電10~20％ 真的很妙,也　 ，　 但　 剛　 從　 ，　  　 很　 ，　 真的　 比較　 ！　  　 APP　 完全　 ，　 硬是　 多　 ~　  　 真的　 很　
267,希望大家不要辦中華拜託大家了,不要　 了　
268,最近中華回到家都被限到剩10M，捷運和公司是正常的 拿老婆每月10G的中華試也一樣被限10M,都　 被　 到　 ，　 和　 是　 的　  　 的　 也　 被　 M　
269,生活圈中華ok順順用,ok　 用　
270,幸福199~ 我爸媽非常滿意,~　  　 非常　
271,中華在文大才是最爛的,在　 才　 是　 最　 的　
272,中華電信已經放棄4G了？,已經　 了　 ？　
273,15毫秒 我中華4G都能11毫秒了 這樣的PING值不行! 目前看到中華最高的PING值 台哥大竟然25毫秒!, 　 都　 能　 了　  　 的　 PING　 !　  　 最　 的　 PING　  　 竟然　 !　
274,用了貴公司的hamivideo多年了，之前使用CHROMECAST投放至電視看電影都沒問題，可是最近有很多影片都無法投放 ，只能在手機正常撥放。,了　 的　 hamivideo　 了　 ，　 CHROMECAST　 至　 都　 ，　 可是　 都　 無法　  　 ，　 只　 能　 在　 。　
275,中華電信的屁股要拉到脫岡了搞不好又在用方案砍吃到飽,的　 要　 了　 搞不好　 又　 在　 到　
276,這方案有比較優嗎？,比較　 嗎　 ？　
277,只有遠傳，才有距離,只有　 ，　 才　
278,換5g手機後遠傳說開通5g體驗1個月 到現在也沒看過變5g網路還變慢, 　 到　 也　 沒　 還　
279,還是中華好！,還是　 ！　
280,我要死了，他們用中華電信一直lag，你們懂吧！！！中華電信倒閉！！,要　 了　 ，　 用　 一直　 lag　 ，　 吧　 ！　 ！　 ！　 ！　 ！　
281,真假看來中華電信蠻給力的,看來　 蠻　 的　
282,中華電信也是完全跑不動,也　 是　 完全　
283,跨年的現場訊號也是很慘呀,的　 也　 是　 很　 呀　
284,4G收訊就這麼不好，還5G,就　 這麼　 不　 ，　 還　 G　
285,現在4G這麼慢還想要5G啊,這麼　 還　 啊　
286,對啊 4G都快沒收訊了！還推5G來騙錢,啊　  4G　 都　 快　 沒　 了　 ！　 還　 5G　 來　
287,可是有5G了4G感覺網速變慢了,可是　 了　 了　
288,4G都沒收訊反應也沒改善還5G勒不就更慘了就只會一直騙錢而已,4G　 都　 沒　 也　 沒　 還　 5G　 不　 就　 更　 了　 就　 只　 會　 一直　 而已　
289,最近收訊這麼差還斷訊,這麼　 還　
290,4G都爛爆了 還5G哈哈哈哈哈哈,都　 了　  　 還　 G　 哈哈　 哈哈　 哈哈　
291,1399便宜ㄇ？,ㄇ　 ？　
292,我只能説越來越爛，錢越收越貴,只　 能　 越來越　 ，　 越　 越　
293,恭喜受到訊號了但我的種花電信在二樓就讓我沒辦法刷推特了（早上可以晚上不行，有夠神奇,了　 但　 的　 在　 就　 了　 （　 可以　 ，　 有夠　
294,便宜的台星囉,的　 囉　
295,",中華給 了我縮水通話的499續約方案,我就不想續約了",",　  　 了　 的　 ,　 就　 不　 了　"
296,myvideo真的是我用過最好用的觀影app，歡迎大家一同下載使用♥️,myvideo　 真的　 是　 過　 最　 的　 app　 ，　 一同　 ♥️　
297,講好聽自動升級，其實是想綁住高資費用戶，繼續敲盤子,，　 其實　 是　 ，　
298,月費1399不是被當盤子敲吧🧐？,不　 是　 被　 吧　 🧐　 ？　
299,問題在中華電信定價高於4G,在　
300,最棒的中華電信,最　 的　
301,中華電信4G中午顯示滿格，結果沒網路用測速軟體看，上下傳都低於1kb但12:50-55左右 網路又突然復活可以到7-8Mb請問這種有解嗎QQ--,，　 結果　 用　 ，　 都　 kb　 但　 :　  　 又　 突然　 可以　 Mb　 嗎　 Q　 Q--　
302,信號函蓋就中華而已。,就　 而已　 。　
303," 中華的月租費只能往上不能往下！ 699月租不能辦499 488就更不用想了,沒有老客戶的份 除非你是別家電信NP來中華這樣子你的優惠條件會比幾十年的中華老客戶好"," 　 的　 只　 能　 往　 不能　 往　 ！　  699　 不能　  　 就　 更　 不用　 了　 ,　 的　  　 除非　 是　 NP　 的　 會　 比　 的　"
304,中華電信是不是怪怪的啊,是　 不　 是　 的　 啊　
305,前天受不了測了一下台哥大也是在秀下限…,了　 也　 是　 在　 …　
306,同樣的條件，我的亞太電信才299....,的　 ，　 的　 才　 ...　 .　
307,如果真的還要嫌的話 頂多就是用台灣之星那類以價壓質的,如果　 真的　 還要　 的話　  　 頂多　 就　 是　 用　 之　 以　 的　
308,通話似乎很慘,似乎　 很　
309,網路倒是不錯,倒是　
310,公教不都488嗎 你的比較貴XD,不　 都　 嗎　  　 的　 比較　 X　 D　
311,我是台灣大用戶 現在品質感覺還不錯,是　  　 還　
312,網路超級不穩,超級　 不　
313,垃圾客服不聽 人說話,不　  　
314,垃圾網路不穩定,不　
315,靠網路很糟,很　
316,垃圾程式,
317,垃,
318,我還想放棄中華勒 有夠爛,還　  　 有夠　
319,中華棒❤️,❤　 ️　
320,中華和亞太，都在玩限速2. 01M的大地遊戲，連3G時代均速都不到，還期待啥快5-10倍，3G時代最高速是75M，現在4G最低速是2.01M，大家有 沒有覺得世事如棋、乾坤莫測、笑盡....大家還是用最便宜的就好,和　 ，　 都　 在　 M　 的　 ，　 連　 都　 ，　 還　 ，　 最　 是　 ，　 最　 是　 M　 ，　  　 沒有　 如　 、　 、　 .　 .　 .　 .　 還是　 用　 最　 的　 就　
321,中華和亞太，都在玩限速2. 01M的大地遊戲，連3G時代均速都不到，還期待啥快5-10倍，3G時代最高速是75M，現在4G最低速是2.01M，大家有 沒有覺得世事如棋、乾坤莫測、笑盡....大家還是用最便宜的就好,和　 ，　 都　 在　 M　 的　 ，　 連　 都　 ，　 還　 ，　 最　 是　 ，　 最　 是　 M　 ，　  　 沒有　 如　 、　 、　 .　 .　 .　 .　 還是　 用　 最　 的　 就　
322,也給遠傳洗臉，象徵中華跟台哥大是6月同天開台，而遠傳卻要到7月才開台,也　 給　 ，　 跟　 是　 ，　 而　 卻　 要　 到　 才　
323,台哥根本不是三雄…,根本　 不　 是　 …　
324,中華超卡，慢到要切成3G還比較快,，　 到　 要　 還　 比較　
325,5G覆蓋率就真的不行,5G　 就　 真的　
326,台灣之星低價騙些垃圾窮鬼就夠吃了,之　 就　 了　
327,5g 超鳥 還要卡熱點分享 連用4g熱點分享都算流量 爛透了,還　  　 連　 用　 都　  　 透　 了　
328,證明遠傳設計的比較好 👍,的　 比較　  　 👍　
329,台哥大最慢最不穩,最　 最　 不　
330,中華目前試了兩天體驗最好 ，最穩,了　 最　  　 ，　 最　
331,亞太：陪公子練劍,：　
332,亞太倒是增加不少.只是都沒增加到我們家這,倒是　 .　 只是　 都　 沒　 到　
333,台哥大不安，我也不安,，　 也　
334,紀錄片貧脊到 可悲, 　
335,位元率太低畫質很糟糕,太　 很　
336,幹嘛還訂閱fox+,幹嘛　 還　 fox+　
337,中華很給力,很　
338,中華一直很強 也很貴,一直　 很　  　 也　 很　
339,這就是坑錢啊。,就　 是　 啊　 。　
340,台哥收訊...NP準備被靠北到死,...　 NP　 被　 靠　 到　
341,一直被當盤仔繳錢（她中華的）每個月都繳1399,一直　 被　 （　 的　 ）　 都　
342,種花假4g,
343,要穏順看，中華比較保險,要　 穏順　 ，　 比較　
344,中華現在上傳在非鬧區 大概都可以50~60m鬧區就比較容易GG,在　  　 大概　 都　 可以　 ~　 m　 就　 比較　 G　 G　
345,HamiPay 再度無法下載,HamiPay　  　 再度　 無法　
346,原本的要按一堆才能轉客服真的超鳥,的　 要　 按　 能　 真的　
347,中華就是比其他家貴，對老客戶也不好....唉,就　 是　 比　 ，　 對　 也　 不　 .　 .　 .　 .　 唉　
348,目前都用499在撑但網速實在不給力,都　 用　 在　 但　 實在　 不　
349,中華電信一直沒動靜阿.............................啃....都想跳到遠傳了....,一直　 阿　 ...........................　 .　 .　 ...　 .　 都　 了　 ...　 .　
350,台哥大算中規中矩,
351,中華我辦過試用卡 很慘,過　  　 很　
352,中華那樣看個YOUTUBE可以一直轉圈,個　 YOUTUBE　 可以　 一直　
353,中華好像就沒這麼省,好像　 就　 沒　 這麼　
354,亞太11真的很省,真的　 很　
355,以前問中華電信說想要裝都不給裝,都　 不　
356,"GtPay的""智慧繳費""很好用","GtPay　 的　 ""　 ""　 很　"
357,亞太這麼沒志氣,這麼　
358,Hami Point用途多多,Hami　  　 Point　 多多　
359,租myvideo黑魔女2來看爽,myvideo　 來　
360,推在家看myvideo,在　 myvideo　
361,穩定的中華電信,的　
362,反推遠遊卡，超崩潰,反　 ，　 超崩潰　
363,有上限還叫吃到飽?,還　 到　 ?　
364,中華相對穩定些,些　
365,比台灣之星差,比　 之　
366,中華只有收費沒有品質嗎？,只有　 嗎　 ？　
367,不限速吃到飽這399還不 錯,不　 到　 還　 不　
368,319速度比較慢,比較　
369,hami這個活動挺不錯的,hami　 挺　 的　
370,看電影然後又有hami點數拿真的蠻爽的~,然後　 又　 hami　 真的　 蠻　 的　 ~　
371,新手長輩們無腦存中華啊,啊　
372,獲利王台灣大真的夠爛,真的　 夠　
373,亞太蹭飯仔要起飛了,要　 了　
374,台哥大到底還有沒有心想要競爭啊？,到底　 還　 沒有　 啊　 ？　
375,常用myVideo看電影，費用其實不會太高,常　 用　 my　 Video　 ，　 其實　 不會　 太　
376,中華國營比較少在搞限速,比較　 在　
377,我中華電信也會卡耶這一定是統戰,也　 會　 耶　 一定　 是　
378,MyVideo免費也很多,My　 Video　 也　
379,同推myVideo介面很好上手 分類滿細 也常常有推薦的片單然後它也有家庭方案 月費沒有Netflix這麼高 算滿親民的,同　 myVideo　 很　  　 滿　  　 也　 常常　 的　 然後　 也　  　 Netflix　 這麼　  　 滿　 的　
380,比過年前還慢,比　 還　
381,慢到閃退 差點殺人！,到　  　 差點　 ！　
382,亞太又放棄，郭董你還是把亞太賣給有心經營的人吧！,又　 ，　 還是　 把　 的　 吧　 ！　
383,用過都說”幹”,過　 都　 ”　 幹　 ”　
384,資費稍高應該是可以接受的,稍　 應該　 是　 可以　 的　
385,中華很貴不考慮,很　 不　
386,老客戶都是被當成屎來看的，沒有價值。,都　 是　 被　 來　 的　 ，　 。　
387,電信公司最不會照顧老客戶,最　 不會　
388,"老客戶不管用幾年,優惠永遠比不上NP來的新客戶","不管　 用　 ,　 永遠　 NP　 的　"
389,沒比亞太難用吧？,沒　 比　 太　 吧　 ？　
390,台哥大最好使,最好　
391,這個費率已經比以前輕鬆很多了,已經　 比　 了　
392,對其品質較有信心,對　 較　
393,不考慮488+空機，老媽覺得麻煩,不　 ，　
394,回覆完全敷衍了事,完全　
395,預付卡 只有悲劇而已, 　 只　 而已　
396,比較慢+1,比較　
397,中華吃不飽,不　
398,中華電信方案還不用2700就可買到,還　 不用　 就　 可　
399,台哥好像跟遠傳五五波,好像　 跟　
400,遠傳直營自營選擇看櫃員是不是好人，被通訊行坑過但也被直營唬爛過,是　 不　 是　 ，　 被　 過　 但　 也　 被　 過　
401,爽，又是中華跟遠傳佔最多~!!,，　 又　 是　 跟　 ~　 !　 !　
402,不然不曉得要被種花坑幾年了....,不然　 不　 要　 被　 了　 .　 .　 .　 .　
403,續約488是不可能的，我 21年老客戶了，沒有任何留我的意思,約　 是　 的　 ，　  　 了　 ，　 的　
404,亞太比較落漆,比較　
405,我用亞太也是很順,用　 也　 是　 很　
406,中華，不知道是我經過的區域使用人特別多還是其他原因，就是用一用突然很頓,，　 不　 是　 的　 還是　 ，　 就是　 一　 突然　 很　
407,買空機在打配499或699都划算,在　 或　 都　
408,還是中華好用,還是　
409,遠傳的表現真的不好,的　 真的　 不　
410,中華應該是會最好的品質,應該　 是　 會　 最　 的　
411,"不是中華電信的問題,默默的切回4G,為速度而生,因比較而死!","不　 是　 的　 ,　 默默　 的　 G　 ,　 為　 而　 ,　 因　 而　 !　"
412,中華現在死角蠻多的 別以為在市區會沒事,蠻　 的　  　 別　 在　 會　
413,市區一堆人用中華自然慢,用　
414,打遊戲打到一半也可以斷線 4G還可以變成3G,也　 可以　  4G　 還可以　
415,台灣之星也不錯 說不定有天能迎頭趕上喔,之　 也　  　 說不定　 能　 喔　
416,我本身主門號是遠傳電信，我感受不到統計該有的體驗。,是　 ，　 不　 該　 的　 。　
417,中華品質向來表現穩定有口碑,向來　
418,還在期待中華zzzZZ,還　 在　 zzz　 ZZ　
419,國營事業不意外…,不　 …　
420,有錢決定一切,
421,盤子才在這時候辦5G,才　 在　 G　
422,傻瓜才抓CH，拜託...綁了快30年，跑了 N遍仍要不到優惠,才　 ，　 ...　 了　 快　 ，　 了　  N　 仍　 不　
423,台星5G＝三雄4.5G,＝　 G　
424,辦499根本盤,
425,中華就最沒誠意又摳門昨天那圖示就消失大概中華覺得太多人在等這個簽到，賺不到儲值的錢,就　 最　 又　 就　 大概　 在　 ，　 不　 的　
426,辣些說遠傳糞的 我看你們是沒享受過台灣之星吼,些　 的　  　 是　 沒　 過　 之　
427,中華在下班後每天都塞得 很慘,在　 都　 得　  　 很　
428,5G網路排名是1.中華2.遠傳3.台灣大4.台星之星，亞太直接出局!,5G　 是　 4.　 之　 ，　 !　
429,我以前也都去中華電信那種的辦...被坑很多年根本傻子,也　 都　 的　 ...　 被　 根本　
430,遠傳超屌 客戶少了中華3百萬以上 頻寬跟中華只差10M Hz 平均來說 遠傳比中華快多了,屌 　 了　  　 跟　 只　 M　  Hz 　 來　  　 比　 了　
431,中華+台哥大合體 & 在5G非吃到飽部分比較有創意,+　  & 　 在　 5G　 非　 到　 比較　
432, 中華>遠傳>>>>>台星>>>>>>>>>台哥, 　 >　 >>>>>　 >>>>>>>>>　
433,Hami pa,Hami　  pa　
434,Hami pa,Hami　  pa　
